Power,Untitled 1
1.559342378,-0.4509
1.542899768,-0.4381
1.558375166,-0.4339
1.541932556,-0.4317
1.554506317,-0.4296
1.589325961,-0.4253
1.598998084,-0.4189
1.641555427,-0.4019
1.63865379,-0.3998
1.599965297,-0.3902
1.600932509,-0.387
1.570948926,-0.3854
1.575784988,-0.3838
1.588358749,-0.379
1.581588262,-0.3742
1.611571845,-0.3694
1.649293126,-0.3646
1.666702948,-0.3598
1.691850469,-0.3534
1.695719318,-0.3422
1.680243921,-0.339
1.676375072,-0.3294
1.62221118,-0.3278
1.59706366,-0.3246
1.5767522,-0.323
1.539998131,-0.3198
1.54773583,-0.315
1.560309591,-0.3086
1.55160468,-0.3038
1.59706366,-0.2993
1.601899721,-0.2961
1.614473482,-0.2929
1.617375119,-0.2897
1.584489899,-0.2865
1.594162023,-0.2833
1.590293173,-0.2791
1.569014502,-0.2759
1.575784988,-0.2727
1.582555474,-0.2695
1.586424324,-0.2663
1.610604632,-0.2631
1.605768571,-0.2599
1.598998084,-0.2556
1.604801358,-0.2524
1.550637467,-0.2492
1.533227645,-0.246
1.510981761,-0.2428
1.470358843,-0.2396
1.504211275,-0.2364
1.499375213,-0.2332
1.510981761,-0.2289
1.559342378,-0.2257
1.574817776,-0.2225
1.606735783,-0.2193
1.631883304,-0.2161
1.616407906,-0.2129
1.604801358,-0.2097
1.603834146,-0.2065
1.565145652,-0.2033
1.575784988,-0.1994
1.566112865,-0.1975
1.563211228,-0.1956
1.596096447,-0.1937
1.581588262,-0.1918
1.59706366,-0.1898
1.632850516,-0.1879
1.589325961,-0.186
1.614473482,-0.1834
1.589325961,-0.1815
1.563211228,-0.1796
1.579653837,-0.1777
1.583522687,-0.1758
1.606735783,-0.1738
1.64252264,-0.1719
1.643489852,-0.17
1.667670161,-0.1674
1.662834099,-0.1655
1.645424277,-0.1636
1.636719366,-0.1617
1.602866934,-0.1598
1.574817776,-0.1578
1.556440741,-0.1559
1.534194857,-0.1534
1.512916186,-0.1514
1.548703043,-0.1495
1.541932556,-0.1476
1.582555474,-0.1457
1.611571845,-0.1438
1.60963742,-0.1418
1.618342331,-0.1399
1.613506269,-0.1374
1.590293173,-0.1354
1.613506269,-0.1335
1.583522687,-0.1316
1.59319481,-0.1297
1.598030872,-0.1278
1.601899721,-0.1258
1.646391489,-0.1239
1.652194763,-0.1214
1.646391489,-0.1194
1.662834099,-0.1175
1.628981667,-0.1156
1.596096447,-0.1137
1.590293173,-0.1118
1.555473529,-0.1098
1.556440741,-0.1079
1.598030872,-0.1054
1.607702995,-0.1034
1.611571845,-0.1438
1.60963742,-0.1418
1.618342331,-0.1399
1.613506269,-0.1374
1.590293173,-0.1354
1.613506269,-0.1335
1.583522687,-0.1316
1.59319481,-0.1297
1.598030872,-0.1278
1.601899721,-0.1258
1.646391489,-0.1239
1.652194763,-0.1214
1.646391489,-0.1194
1.662834099,-0.1175
1.628981667,-0.1156
1.596096447,-0.1137
1.590293173,-0.1118
1.555473529,-0.1098
1.556440741,-0.1079
1.598030872,-0.1054
1.607702995,-0.1034
1.582555474,-0.1457
1.611571845,-0.1438
1.60963742,-0.1418
1.618342331,-0.1399
1.613506269,-0.1374
1.590293173,-0.1354
1.613506269,-0.1335
1.583522687,-0.1316
1.59319481,-0.1297
1.598030872,-0.1278
1.601899721,-0.1258
1.646391489,-0.1239
1.652194763,-0.1214
1.646391489,-0.1194
1.662834099,-0.1175
1.628981667,-0.1156
1.596096447,-0.1137
1.590293173,-0.1118
1.555473529,-0.1098
1.556440741,-0.1079
1.598030872,-0.1054
1.607702995,-0.1034
1.611571845,-0.1438
1.60963742,-0.1418
1.618342331,-0.1399
1.558375166,-0.4339
1.541932556,-0.4317
1.554506317,-0.4296
1.589325961,-0.4253
1.598998084,-0.4189
1.641555427,-0.4019
1.63865379,-0.3998
1.599965297,-0.3902
1.600932509,-0.387
1.570948926,-0.3854
1.575784988,-0.3838
1.588358749,-0.379
1.581588262,-0.3742
1.611571845,-0.3694
1.649293126,-0.3646
1.666702948,-0.3598
1.691850469,-0.3534
1.695719318,-0.3422
1.680243921,-0.339
1.676375072,-0.3294
1.62221118,-0.3278
1.59706366,-0.3246
1.5767522,-0.323
1.539998131,-0.3198
1.54773583,-0.315
1.560309591,-0.3086
1.55160468,-0.3038
1.59706366,-0.2993
1.601899721,-0.2961
1.614473482,-0.2929
1.617375119,-0.2897
1.584489899,-0.2865
1.594162023,-0.2833
1.590293173,-0.2791
1.569014502,-0.2759
1.575784988,-0.2727
1.582555474,-0.2695
1.586424324,-0.2663
1.610604632,-0.2631
1.605768571,-0.2599
1.598998084,-0.2556
1.604801358,-0.2524
1.550637467,-0.2492
1.533227645,-0.246
1.510981761,-0.2428
1.470358843,-0.2396
1.504211275,-0.2364
1.499375213,-0.2332
1.510981761,-0.2289
1.559342378,-0.2257
1.574817776,-0.2225
1.606735783,-0.2193
1.631883304,-0.2161
1.616407906,-0.2129
1.604801358,-0.2097
1.603834146,-0.2065
1.565145652,-0.2033
1.575784988,-0.1994
1.566112865,-0.1975
1.563211228,-0.1956
1.596096447,-0.1937
1.581588262,-0.1918
1.59706366,-0.1898
1.632850516,-0.1879
1.589325961,-0.186
1.614473482,-0.1834
1.589325961,-0.1815
1.563211228,-0.1796
1.579653837,-0.1777
1.583522687,-0.1758
1.606735783,-0.1738
1.64252264,-0.1719
1.643489852,-0.17
1.667670161,-0.1674
1.662834099,-0.1655
1.645424277,-0.1636
1.636719366,-0.1617
1.602866934,-0.1598
1.574817776,-0.1578
1.556440741,-0.1559
1.534194857,-0.1534
1.512916186,-0.1514
1.548703043,-0.1495
1.541932556,-0.1476
1.582555474,-0.1457
1.611571845,-0.1438
1.60963742,-0.1418
1.618342331,-0.1399
1.613506269,-0.1374
1.590293173,-0.1354
1.613506269,-0.1335
1.583522687,-0.1316
1.59319481,-0.1297
1.598030872,-0.1278
1.601899721,-0.1258
1.646391489,-0.1239
1.652194763,-0.1214
1.646391489,-0.1194
1.662834099,-0.1175
1.628981667,-0.1156
1.596096447,-0.1137
1.590293173,-0.1118
1.555473529,-0.1098
1.556440741,-0.1079
1.598030872,-0.1054
1.607702995,-0.1034
1.64252264,-0.1015
1.658965249,-0.0997
1.656063612,-0.0985
1.685079983,-0.0972
1.682178346,-0.0959
1.702489805,-0.0946
1.739243874,-0.0933
1.773096306,-0.0899
1.861112629,-0.0891
1.952997801,-0.0865
2.065194433,-0.0857
2.188997613,-0.0822
2.29539097,-0.0814
2.425964636,-0.0775
2.521718658,-0.0771
2.600062858,-0.0741
2.719029976,-0.0737
2.812849573,-0.0707
2.886357711,-0.0699
2.958898636,-0.0665
3.053685446,-0.066
3.106882125,-0.063
3.221980393,-0.0626
3.284849196,-0.0596
3.36512782,-0.0592
3.428963834,-0.0562
3.449275294,-0.0558
3.537291617,-0.0528
3.555668651,-0.0524
3.601127631,-0.0497
3.640783337,-0.0495
3.656258735,-0.048
3.748143907,-0.0476
3.812947134,-0.0476
3.879684786,-0.0469
3.975438807,-0.0454
4.027668274,-0.045
4.114717385,-0.0437
4.204668132,-0.0433
4.258832023,-0.0418
4.306225428,-0.0414
4.347815559,-0.0399
4.362323744,-0.0395
4.426159758,-0.0392
4.44743843,-0.0388
4.44743843,-0.0373
4.501602321,-0.0369
4.515143294,-0.0367
4.556733425,-0.0363
4.60025798,-0.036
4.582848158,-0.0356
4.605094042,-0.0341
4.622503864,-0.0337
4.630241563,-0.0335
4.657323508,-0.0331
4.671831693,-0.0326
4.666028419,-0.0322
4.76565129,-0.032
4.794667661,-0.0316
4.854634826,-0.0313
4.862372524,-0.0309
4.869143011,-0.0294
4.927175751,-0.029
4.970700307,-0.0286
4.981339642,-0.0281
4.992946191,-0.0279
4.971667519,-0.0275
4.994880615,-0.0273
5.076126452,-0.0269
5.073224815,-0.0264
5.157372289,-0.026
5.158339501,-0.0247
5.230880427,-0.0241
5.352749182,-0.0239
5.381765552,-0.0235
5.404978648,-0.022
5.429158957,-0.0215
5.429158957,-0.02
5.497831033,-0.02
5.495896608,-0.0199
5.506535944,-0.0199
5.55876541,-0.0199
5.628404699,-0.0198
5.731896419,-0.0198
5.769617701,-0.0197
5.750273454,-0.0197
5.763814427,-0.0197
5.771552125,-0.0195
5.754142303,-0.0195
5.716421022,-0.0195
5.631306336,-0.0194
5.590683418,-0.0194
5.550060499,-0.0193
5.501699882,-0.0193
5.446568779,-0.0193
5.373060641,-0.0192
5.283109893,-0.0192
5.260864009,-0.0191
5.164142775,-0.019
5.098372336,-0.0189
5.017126499,-0.0189
4.931044601,-0.0188
4.929110176,-0.0187
4.894290532,-0.0187
4.898159381,-0.0186
4.864306949,-0.0185
4.809175846,-0.0185
4.810143058,-0.0184
4.778225051,-0.0184
4.748241468,-0.0183
4.734700495,-0.0182
4.682471029,-0.0181
4.670864481,-0.0181
4.667962844,-0.018
4.649585809,-0.0179
4.64571696,-0.0179
4.648618597,-0.0178
4.584782582,-0.0177
4.624438288,-0.0177
4.554799,-0.0176
4.514176082,-0.0176
4.497733472,-0.0175
4.442602368,-0.0174
4.421323697,-0.0174
4.455176129,-0.0173
4.395208964,-0.0172
4.43486467,-0.0171
4.416487635,-0.0171
4.393274539,-0.017
4.448405642,-0.017
4.397143388,-0.0169
4.392307327,-0.0168
4.354586045,-0.0168
4.322668038,-0.0167
4.315897552,-0.0166
4.297520517,-0.0165
4.267536934,-0.0165
4.263668085,-0.0164
4.251094325,-0.0164
4.197897646,-0.0163
4.211438619,-0.0162
4.169848488,-0.0162
4.155340303,-0.0161
4.135996056,-0.016
4.086668227,-0.016
4.098274775,-0.0159
4.069258404,-0.0158
4.086668227,-0.0158
4.089569864,-0.0157
4.077963316,-0.0156
4.090537076,-0.0155
4.09634035,-0.0155
4.046045308,-0.0154
4.062487918,-0.0154
4.01799615,-0.0153
3.991881417,-0.0152
3.981242081,-0.0152
3.941586375,-0.0151
3.947389649,-0.015
3.936750314,-0.0149
3.925143766,-0.0149
3.929012615,-0.0148
3.907733943,-0.0148
3.88161921,-0.0147
3.899996245,-0.0146
3.839061867,-0.0146
3.850668415,-0.0145
3.813914346,-0.0144
3.800373374,-0.0144
3.827455319,-0.0143
3.812947134,-0.0142
3.805209435,-0.0142
3.847766778,-0.0141
3.793602887,-0.014
3.794570099,-0.0139
3.804242223,-0.0139
3.751045544,-0.0138
3.719127537,-0.0138
3.679471831,-0.0137
3.644652187,-0.0136
3.650455461,-0.0136
3.6378817,-0.0135
3.644652187,-0.0134
3.64175055,-0.0133
3.645619399,-0.0133
3.643684974,-0.0132
3.619504666,-0.0132
3.62530794,-0.0131
3.599193206,-0.013
3.560504713,-0.013
3.548898165,-0.0129
3.561471925,-0.0128
3.53438998,-0.0128
3.567275199,-0.0127
3.555668651,-0.0126
3.536324404,-0.0126
3.549865377,-0.0125
3.500537548,-0.0124
3.466685116,-0.0123
3.459914629,-0.0123
3.431865471,-0.0122
3.447340869,-0.0122
3.427996622,-0.0121
3.424127773,-0.012
3.457980205,-0.012
3.432832684,-0.0119
3.412521225,-0.0118
3.42702941,-0.0117
3.399947464,-0.0117
3.363193395,-0.0116
3.344816361,-0.0115
3.285816408,-0.0115
3.281947558,-0.0114
3.258734462,-0.0113
3.246160702,-0.0113
3.295488531,-0.0112
3.278078709,-0.0111
3.237455791,-0.0111
3.273242647,-0.011
3.252931188,-0.0109
3.25776725,-0.0109
3.223914818,-0.0108
3.214242695,-0.0107
3.219078756,-0.0107
3.208439421,-0.0106
3.227783667,-0.0106
3.232619729,-0.0105
3.223914818,-0.0104
3.219078756,-0.0103
3.210373845,-0.0103
3.191029598,-0.0102
3.164914865,-0.0101
3.118488673,-0.0101
3.074964117,-0.01
3.065291994,-0.01
3.055619871,-0.0099
3.052718234,-0.0098
3.103013275,-0.0097
3.103980488,-0.0097
3.141701769,-0.0096
3.131062433,-0.0096
3.127193584,-0.0095
3.165882078,-0.0094
3.140734557,-0.0094
3.126226372,-0.0093
3.106882125,-0.0092
3.065291994,-0.0091
3.058521508,-0.0091
3.058521508,-0.009
3.073996905,-0.0089
3.081734604,-0.0089
3.05948872,-0.0088
3.014996952,-0.0087
2.978242883,-0.0087
2.956964212,-0.0086
2.947292088,-0.0085
2.93568554,-0.0085
2.892160985,-0.0084
2.911505232,-0.0083
2.922144567,-0.0083
2.940521602,-0.0082
2.955996999,-0.0081
2.93955439,-0.0081
2.938587177,-0.008
2.944390451,-0.0079
2.904734745,-0.0079
2.897964259,-0.0078
2.86121019,-0.0077
2.833161032,-0.0077
2.842833155,-0.0076
2.812849573,-0.0075
2.813816785,-0.0075
2.837029881,-0.0074
2.834128244,-0.0074
2.846702005,-0.0073
2.814783998,-0.0072
2.806079086,-0.0071
2.813816785,-0.0071
2.808013511,-0.007
2.803177449,-0.0069
2.807046299,-0.0069
2.803177449,-0.0068
2.808980723,-0.0068
2.817685635,-0.0067
2.796406963,-0.0066
2.808980723,-0.0065
2.780931566,-0.0065
2.774161079,-0.0064
2.721931613,-0.0064
2.710325065,-0.0063
