Power,Untitled 1
1.50227685,-0.4205
1.504211275,-0.4056
1.537096494,-0.3994
1.550637467,-0.3994
1.566112865,-0.393
1.585457112,-0.3834
1.607702995,-0.3786
1.591260386,-0.3674
1.611571845,-0.3626
1.586424324,-0.3514
1.572883351,-0.3466
1.556440741,-0.3466
1.509047337,-0.3402
1.525489946,-0.337
1.529358796,-0.3322
1.550637467,-0.3306
1.58062105,-0.3258
1.600932509,-0.3242
1.616407906,-0.3194
1.625112818,-0.3162
1.604801358,-0.3114
1.598030872,-0.3018
1.586424324,-0.2969
1.560309591,-0.2969
1.559342378,-0.2937
1.571916139,-0.2927
1.560309591,-0.2895
1.602866934,-0.2873
1.614473482,-0.2841
1.617375119,-0.2831
1.613506269,-0.2799
1.598998084,-0.2788
1.582555474,-0.2745
1.565145652,-0.2735
1.532260433,-0.2703
1.554506317,-0.2692
1.556440741,-0.266
1.579653837,-0.2639
1.603834146,-0.2607
1.602866934,-0.2607
1.62608003,-0.2564
1.628014455,-0.2543
1.59706366,-0.2511
1.582555474,-0.25
1.579653837,-0.2468
1.554506317,-0.2436
1.568047289,-0.2404
1.563211228,-0.2361
1.562244015,-0.2329
1.600932509,-0.2297
1.612539057,-0.2255
1.614473482,-0.2223
1.631883304,-0.2191
1.584489899,-0.2148
1.588358749,-0.2137
1.578686625,-0.2105
1.557407954,-0.2073
1.569981714,-0.2041
1.575784988,-0.1999
1.587391536,-0.198
1.633817729,-0.1961
1.631883304,-0.1935
1.63865379,-0.1916
1.6550964,-0.1897
1.623178393,-0.1871
1.602866934,-0.1852
1.585457112,-0.1833
1.543866981,-0.1775
1.53516207,-0.1762
1.520653885,-0.1743
1.512916186,-0.1737
1.553539104,-0.1718
1.550637467,-0.1718
1.58062105,-0.1692
1.611571845,-0.1666
1.608670208,-0.1654
1.627047242,-0.1634
1.604801358,-0.1615
1.606735783,-0.1596
1.610604632,-0.157
1.589325961,-0.1551
1.588358749,-0.1532
1.604801358,-0.1506
1.598030872,-0.1506
1.614473482,-0.1481
1.630916092,-0.1455
1.611571845,-0.1436
1.608670208,-0.1417
1.585457112,-0.1391
1.545801406,-0.1372
1.542899768,-0.1353
1.517752248,-0.1327
1.539998131,-0.1321
1.557407954,-0.1302
1.568047289,-0.1282
1.599965297,-0.1263
1.624145605,-0.1238
1.636719366,-0.1212
1.64252264,-0.1193
1.618342331,-0.1167
1.602866934,-0.1154
1.606735783,-0.1135
1.570948926,-0.1116
1.578686625,-0.109
1.607702995,-0.1058
1.50227685,-0.4205
1.504211275,-0.4056
1.537096494,-0.3994
1.550637467,-0.3994
1.566112865,-0.393
1.585457112,-0.3834
1.607702995,-0.3786
1.591260386,-0.3674
1.611571845,-0.3626
1.586424324,-0.3514
1.572883351,-0.3466
1.556440741,-0.3466
1.509047337,-0.3402
1.525489946,-0.337
1.529358796,-0.3322
1.550637467,-0.3306
1.58062105,-0.3258
1.600932509,-0.3242
1.616407906,-0.3194
1.625112818,-0.3162
1.604801358,-0.3114
1.598030872,-0.3018
1.586424324,-0.2969
1.560309591,-0.2969
1.559342378,-0.2937
1.571916139,-0.2927
1.560309591,-0.2895
1.602866934,-0.2873
1.614473482,-0.2841
1.617375119,-0.2831
1.613506269,-0.2799
1.598998084,-0.2788
1.582555474,-0.2745
1.565145652,-0.2735
1.532260433,-0.2703
1.554506317,-0.2692
1.556440741,-0.266
1.579653837,-0.2639
1.603834146,-0.2607
1.602866934,-0.2607
1.62608003,-0.2564
1.628014455,-0.2543
1.59706366,-0.2511
1.582555474,-0.25
1.579653837,-0.2468
1.554506317,-0.2436
1.568047289,-0.2404
1.563211228,-0.2361
1.562244015,-0.2329
1.600932509,-0.2297
1.612539057,-0.2255
1.614473482,-0.2223
1.631883304,-0.2191
1.584489899,-0.2148
1.588358749,-0.2137
1.578686625,-0.2105
1.557407954,-0.2073
1.569981714,-0.2041
1.575784988,-0.1999
1.587391536,-0.198
1.633817729,-0.1961
1.631883304,-0.1935
1.63865379,-0.1916
1.6550964,-0.1897
1.623178393,-0.1871
1.602866934,-0.1852
1.585457112,-0.1833
1.543866981,-0.1775
1.53516207,-0.1762
1.520653885,-0.1743
1.512916186,-0.1737
1.553539104,-0.1718
1.550637467,-0.1718
1.58062105,-0.1692
1.611571845,-0.1666
1.608670208,-0.1654
1.627047242,-0.1634
1.604801358,-0.1615
1.606735783,-0.1596
1.610604632,-0.157
1.589325961,-0.1551
1.588358749,-0.1532
1.604801358,-0.1506
1.598030872,-0.1506
1.614473482,-0.1481
1.630916092,-0.1455
1.611571845,-0.1436
1.608670208,-0.1417
1.585457112,-0.1391
1.545801406,-0.1372
1.542899768,-0.1353
1.517752248,-0.1327
1.539998131,-0.1321
1.557407954,-0.1302
1.568047289,-0.1282
1.599965297,-0.1263
1.624145605,-0.1238
1.636719366,-0.1212
1.64252264,-0.1193
1.618342331,-0.1167
1.602866934,-0.1154
1.606735783,-0.1135
1.570948926,-0.1116
1.578686625,-0.109
1.607702995,-0.1058
1.50227685,-0.4205
1.504211275,-0.4056
1.537096494,-0.3994
1.550637467,-0.3994
1.566112865,-0.393
1.585457112,-0.3834
1.607702995,-0.3786
1.591260386,-0.3674
1.611571845,-0.3626
1.586424324,-0.3514
1.572883351,-0.3466
1.556440741,-0.3466
1.509047337,-0.3402
1.525489946,-0.337
1.529358796,-0.3322
1.550637467,-0.3306
1.58062105,-0.3258
1.600932509,-0.3242
1.616407906,-0.3194
1.625112818,-0.3162
1.604801358,-0.3114
1.598030872,-0.3018
1.586424324,-0.2969
1.560309591,-0.2969
1.559342378,-0.2937
1.571916139,-0.2927
1.560309591,-0.2895
1.602866934,-0.2873
1.614473482,-0.2841
1.617375119,-0.2831
1.613506269,-0.2799
1.598998084,-0.2788
1.582555474,-0.2745
1.565145652,-0.2735
1.532260433,-0.2703
1.554506317,-0.2692
1.556440741,-0.266
1.579653837,-0.2639
1.603834146,-0.2607
1.602866934,-0.2607
1.62608003,-0.2564
1.628014455,-0.2543
1.59706366,-0.2511
1.582555474,-0.25
1.579653837,-0.2468
1.554506317,-0.2436
1.568047289,-0.2404
1.563211228,-0.2361
1.562244015,-0.2329
1.600932509,-0.2297
1.612539057,-0.2255
1.614473482,-0.2223
1.631883304,-0.2191
1.584489899,-0.2148
1.588358749,-0.2137
1.578686625,-0.2105
1.557407954,-0.2073
1.569981714,-0.2041
1.575784988,-0.1999
1.587391536,-0.198
1.633817729,-0.1961
1.631883304,-0.1935
1.63865379,-0.1916
1.6550964,-0.1897
1.623178393,-0.1871
1.602866934,-0.1852
1.585457112,-0.1833
1.543866981,-0.1775
1.53516207,-0.1762
1.520653885,-0.1743
1.512916186,-0.1737
1.553539104,-0.1718
1.550637467,-0.1718
1.58062105,-0.1692
1.611571845,-0.1666
1.608670208,-0.1654
1.627047242,-0.1634
1.604801358,-0.1615
1.606735783,-0.1596
1.610604632,-0.157
1.589325961,-0.1551
1.588358749,-0.1532
1.604801358,-0.1506
1.598030872,-0.1506
1.614473482,-0.1481
1.630916092,-0.1455
1.611571845,-0.1436
1.608670208,-0.1417
1.585457112,-0.1391
1.545801406,-0.1372
1.542899768,-0.1353
1.517752248,-0.1327
1.539998131,-0.1321
1.557407954,-0.1302
1.568047289,-0.1282
1.599965297,-0.1263
1.624145605,-0.1238
1.636719366,-0.1212
1.64252264,-0.1193
1.618342331,-0.1167
1.602866934,-0.1154
1.606735783,-0.1135
1.570948926,-0.1116
1.578686625,-0.109
1.607702995,-0.1058
1.50227685,-0.4205
1.504211275,-0.4056
1.537096494,-0.3994
1.550637467,-0.3994
1.566112865,-0.393
1.585457112,-0.3834
1.607702995,-0.3786
1.591260386,-0.3674
1.611571845,-0.3626
1.586424324,-0.3514
1.572883351,-0.3466
1.556440741,-0.3466
1.509047337,-0.3402
1.525489946,-0.337
1.529358796,-0.3322
1.550637467,-0.3306
1.58062105,-0.3258
1.600932509,-0.3242
1.616407906,-0.3194
1.625112818,-0.3162
1.604801358,-0.3114
1.598030872,-0.3018
1.586424324,-0.2969
1.560309591,-0.2969
1.559342378,-0.2937
1.571916139,-0.2927
1.560309591,-0.2895
1.602866934,-0.2873
1.614473482,-0.2841
1.617375119,-0.2831
1.613506269,-0.2799
1.598998084,-0.2788
1.582555474,-0.2745
1.565145652,-0.2735
1.532260433,-0.2703
1.554506317,-0.2692
1.556440741,-0.266
