Power,Untitled 1,Untitled
0.605082015,-500,
0.621350733,-500,
0.625689057,-500,
0.628219747,-500,
0.630388909,-500,
0.636173342,-500,
0.638342504,-500,
0.64991137,-500,
0.64991137,-500,
0.650995951,-500,
0.651719005,-500,
0.647019153,-500,
0.642319302,-500,
0.636173342,-500,
0.631111963,-500,
0.627496693,-500,
0.630388909,-500,
0.617012408,-500,
0.630750436,-500,
0.624966003,-500,
0.634727234,-500,
0.628942801,-500,
0.634727234,-500,
0.630027382,-500,
0.646296099,-500,
0.639427085,-500,
0.653165113,-500,
0.636534869,-500,
0.641596248,-500,
0.636534869,-500,
0.628942801,-500,
0.637980977,-500,
0.629665855,-500,
0.628942801,-500,
0.622073787,-500,
0.627135166,-500,
0.618820043,-500,
0.63400418,-500,
0.626412112,-500,
0.64015014,-500,
0.637257923,-500,
0.64991137,-500,
0.639065558,-500,
0.650272897,-500,
0.635088761,-500,
0.646657626,-500,
0.649188316,-500,
0.657864965,-500,
0.648826789,-500,
0.656418857,-500,
0.661118708,-500,
0.652803586,-500,
0.646657626,-500,
0.64015014,-500,
0.650634424,-500,
0.631835017,-500,
0.635450288,-500,
0.639788612,-500,
0.640511667,-500,
0.636534869,-500,
0.64015014,-500,
0.642319302,-500,
0.654249694,-500,
0.645211518,-500,
0.653888167,-500,
0.664010925,-500,
0.650272897,-500,
0.648103735,-500,
0.657503438,-500,
0.65605733,-500,
0.648826789,-500,
0.648826789,-500,
0.641957775,-500,
0.64376541,-500,
0.62532753,-500,
0.636896396,-500,
0.632558071,-500,
0.636173342,-500,
0.634365707,-500,
0.648103735,-500,
0.639065558,-500,
0.649549843,-500,
0.644488464,-500,
0.652803586,-500,
0.645573045,-500,
0.639065558,-500,
0.624604476,-500,
0.634365707,-500,
0.624966003,-500,
0.616650881,-500,
0.61918157,-500,
0.609781867,-500,
0.610866448,-500,
0.617373935,-500,
0.622435314,-500,
0.618458516,-500,
0.637257923,-500,
0.637980977,-500,
0.649549843,-500,
0.641596248,-500,
0.652442059,-500,
0.647742208,-500,
0.654249694,-500,
0.652080532,-500,
0.656780384,-500,
0.652442059,-500,
0.654249694,-500,
0.644488464,-500,
0.643042356,-500,
0.641957775,-500,
0.637257923,-500,
0.626050585,-500,
0.630750436,-500,
0.629665855,-500,
0.636173342,-500,
0.636173342,-500,
0.63147349,-500,
0.632196544,-500,
0.627496693,-500,
0.639427085,-500,
0.634365707,-500,
0.639788612,-500,
0.629665855,-500,
0.635811815,-500,
0.634727234,-500,
0.635450288,-500,
0.634727234,-500,
0.632919599,-500,
0.626412112,-500,
0.637257923,-500,
0.613035611,-500,
0.631111963,-500,
0.637980977,-500,
0.633281126,-500,
0.639065558,-500,
0.639065558,-500,
0.641596248,-500,
0.627496693,-500,
0.640511667,-500,
0.621350733,-500,
0.639065558,-500,
0.63147349,-500,
0.632196544,-500,
0.618096989,-500,
0.611951029,-500,
0.609781867,-500,
0.609781867,-500,
0.603635907,-500,
0.607251178,-500,
0.612312556,-500,
0.606889651,-500,
0.617735462,-500,
0.620627679,-500,
0.634365707,-500,
0.636173342,-500,
0.642319302,-500,
0.644849991,-500,
0.64376541,-500,
0.641596248,-500,
0.644126937,-500,
0.635811815,-500,
0.634365707,-500,
0.623519895,-500,
0.632919599,-500,
0.620989206,-500,
0.635811815,-500,
0.632558071,-500,
0.633281126,-500,
0.639065558,-500,
0.632919599,-500,
0.652803586,-500,
0.640873194,-500,
0.633281126,-500,
0.639065558,-500,
0.643403883,-500,
0.638342504,-500,
0.643403883,-500,
0.638704031,-500,
0.635088761,-500,
0.625689057,-500,
0.627135166,-500,
0.622073787,-500,
0.628581274,-500,
0.623158368,-500,
0.620266152,-500,
0.627135166,-500,
0.623519895,-500,
0.630750436,-500,
0.632196544,-500,
0.636896396,-500,
0.637980977,-500,
0.641596248,-500,
0.646657626,-500,
0.657864965,-500,
0.653165113,-500,
0.664010925,-500,
0.657503438,-500,
0.669795357,-500,
0.649549843,-500,
0.655695803,-500,
0.638704031,-500,
0.637257923,-500,
0.635450288,-500,
0.626412112,-500,
0.625689057,-500,
0.618458516,-500,
0.614843246,-500,
0.618096989,-500,
0.62785822,-500,
0.631111963,-500,
0.639427085,-500,
0.634365707,-500,
0.64376541,-500,
0.651719005,-500,
0.64991137,-500,
0.641234721,-500,
0.648103735,-500,
0.638342504,-500,
