Power,Untitled 1
1.326244204,-0.3586
1.307867169,-0.3538
1.322375355,-0.349
1.30399832,-0.3442
1.312703231,-0.3394
1.306899957,-0.3346
1.306899957,-0.3298
1.309801594,-0.325
1.286588498,-0.3186
1.301096683,-0.3138
1.283686861,-0.309
1.286588498,-0.3042
1.288522923,-0.2996
1.271113101,-0.2964
1.299162258,-0.2932
1.283686861,-0.29
1.308834382,-0.2868
1.308834382,-0.2825
1.316572081,-0.2793
1.314637656,-0.2761
1.314637656,-0.2729
1.332047478,-0.2697
1.307867169,-0.2665
1.325276992,-0.2633
1.311736019,-0.2601
1.321408142,-0.2559
1.301096683,-0.2527
1.293358984,-0.2495
1.298195046,-0.2463
1.276916375,-0.2431
1.280785224,-0.2399
1.280785224,-0.2367
1.286588498,-0.2335
1.289490135,-0.2292
1.28755571,-0.226
1.301096683,-0.2228
1.284654073,-0.2196
1.301096683,-0.2164
1.303031108,-0.2132
1.329145841,-0.21
1.317539293,-0.2068
1.317539293,-0.2025
1.324309779,-0.1996
1.309801594,-0.1977
1.310768807,-0.1951
1.282719649,-0.1938
1.30399832,-0.1913
1.283686861,-0.1894
1.296260621,-0.1874
1.288522923,-0.1855
1.290457347,-0.183
1.308834382,-0.181
1.300129471,-0.1798
1.329145841,-0.1772
1.337850752,-0.1753
1.335916327,-0.1734
1.351391725,-0.1708
1.33688354,-0.1695
1.345588451,-0.1676
1.33688354,-0.165
1.346555663,-0.1631
1.334949115,-0.1618
1.345588451,-0.1593
1.331080266,-0.1574
1.331080266,-0.1554
1.339785177,-0.1529
1.309801594,-0.1516
1.321408142,-0.1497
1.300129471,-0.1471
1.299162258,-0.1452
1.295293409,-0.1433
1.311736019,-0.1414
1.325276992,-0.1394
1.322375355,-0.1375
1.331080266,-0.135
1.333981903,-0.133
1.341719601,-0.1318
1.339785177,-0.1292
1.338817964,-0.1273
1.339785177,-0.1254
1.337850752,-0.1234
1.337850752,-0.1215
1.306899957,-0.1196
1.313670444,-0.117
1.312703231,-0.1158
1.306899957,-0.1138
1.305932745,-0.1113
1.310768807,-0.1094
1.307867169,-0.1074
1.32044093,-0.1049
1.339785177,-0.1036
1.327211416,-0.1017
1.335916327,-0.0994
1.339785177,-0.0981
1.367834335,-0.0969
1.373637609,-0.0951
1.392014643,-0.0939
1.433604774,-0.0926
1.467457206,-0.0909
1.532260433,-0.0896
1.587391536,-0.0887
1.67153901,-0.087
1.752784847,-0.0858
1.834997896,-0.0845
1.928817493,-0.0828
1.995555144,-0.0815
2.106784564,-0.0806
2.160948455,-0.0789
2.270243449,-0.0777
2.351489286,-0.0764
2.423062999,-0.0747
2.543964542,-0.0742
2.596194008,-0.073
2.687111968,-0.0717
2.750947983,-0.0678
2.826390546,-0.0666
2.859275765,-0.0666
2.940521602,-0.0627
2.974374034,-0.0597
3.040144473,-0.0585
3.089472303,-0.0559
3.102046063,-0.0546
3.167816502,-0.0516
3.206504996,-0.0503
3.231652517,-0.0489
3.296455744,-0.0483
3.333209813,-0.0468
3.389308128,-0.0461
3.440570382,-0.0448
3.512144096,-0.0442
3.554701439,-0.0429
3.611766967,-0.0423
3.635947275,-0.0419
3.659160372,-0.0412
3.689143954,-0.0399
3.695914441,-0.0393
3.714291475,-0.0389
3.711389838,-0.0384
3.730734085,-0.038
3.725898023,-0.0374
3.733635722,-0.0372
3.726865236,-0.0365
3.756848818,-0.0363
3.75781603,-0.0357
3.786832401,-0.0355
3.806176648,-0.0348
3.858406114,-0.0346
3.850668415,-0.034
3.868078237,-0.0325
3.870979874,-0.0318
3.891291334,-0.0316
3.89806182,-0.031
3.904832306,-0.0308
3.907733943,-0.0301
3.907733943,-0.0299
3.912570005,-0.0293
3.926110978,-0.0288
3.93094704,-0.0282
3.911602793,-0.0282
3.92707819,-0.0276
3.932881464,-0.0273
3.970602746,-0.0267
3.983176506,-0.0265
4.015094513,-0.0259
4.032504335,-0.0256
4.054750219,-0.025
4.060553493,-0.0235
4.091504288,-0.0229
4.101176412,-0.0227
4.104078049,-0.022
4.102143624,-0.0218
4.113750172,-0.0212
4.105045261,-0.0212
4.109881323,-0.0203
4.102143624,-0.02
4.099241987,-0.02
4.10891411,-0.0199
4.102143624,-0.0199
4.116651809,-0.0199
4.127291145,-0.0198
4.109881323,-0.0198
4.117619022,-0.0198
4.09634035,-0.0197
4.086668227,-0.0197
4.086668227,-0.0197
4.065389555,-0.0196
4.07989774,-0.0196
4.023799424,-0.0196
4.01799615,-0.0195
3.991881417,-0.0195
3.979307657,-0.0195
3.946422437,-0.0194
3.933848677,-0.0194
3.893225758,-0.0194
3.860340539,-0.0193
3.84002908,-0.0193
3.797471736,-0.0193
3.787799613,-0.0192
3.764586517,-0.0192
3.750078332,-0.0192
3.768455366,-0.0191
3.755881606,-0.0191
3.746209482,-0.0191
3.744275058,-0.019
3.722029174,-0.019
3.697848865,-0.019
3.689143954,-0.0189
3.679471831,-0.0189
3.648521036,-0.0189
3.630144001,-0.0188
3.598225994,-0.0188
3.571144049,-0.0188
3.558570288,-0.0187
3.536324404,-0.0187
3.535357192,-0.0187
3.519881794,-0.0186
3.475390027,-0.0186
3.488931,-0.0186
3.457980205,-0.0185
3.452176931,-0.0185
3.448308081,-0.0185
3.440570382,-0.0184
3.42316056,-0.0184
3.414455649,-0.0184
3.406717951,-0.0183
3.4105868,-0.0183
3.388340916,-0.0183
3.368029457,-0.0182
3.351586847,-0.0182
3.326439326,-0.0182
3.275177072,-0.0181
3.259701675,-0.0181
3.214242695,-0.0181
3.181357475,-0.018
3.157177166,-0.018
3.110750974,-0.018
3.110750974,-0.0179
3.087537878,-0.0179
3.094308364,-0.0179
3.065291994,-0.0178
3.079800179,-0.0178
3.07206248,-0.0178
3.07593133,-0.0177
3.039177261,-0.0177
3.002423192,-0.0176
2.96857076,-0.0176
2.942456027,-0.0176
2.905701958,-0.0176
2.875718375,-0.0175
2.847669217,-0.0175
2.808980723,-0.0175
2.791570901,-0.0174
2.768357805,-0.0174
2.764488956,-0.0173
2.744177497,-0.0173
2.730636524,-0.0173
2.74127586,-0.0173
2.725800462,-0.0172
