Power,Untitled 1
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-500
1.5,-178.1422
1.5,-178.1422
1.5,-178.1422
1.5,-178.1422
1.5,-178.1422
1.5,-178.1422
1.5,-165.3422
1.5,-139.7422
1.5,-80.0089
1.5,-62.9422
1.5,-11.7422
1.5,-3.6567
1.5,-0.4989
1.5,-0.4947
1.5,-0.4925
1.5,-0.4904
1.5,-0.4861
1.5,-0.4669
1.5,-0.4627
1.5,-0.4499
1.5,-0.4456
1.5,-0.4328
1.5,-0.4307
1.5,-0.4157
1.5,-0.4136
1.5,-0.4115
1.5,-0.4093
1.5,-0.4051
1.5,-0.4029
1.5,-0.399
1.5,-0.3942
1.5,-0.3894
1.5,-0.3846
1.5,-0.3798
1.5,-0.375
1.5,-0.3686
1.5,-0.3638
1.5,-0.359
1.5,-0.3542
1.5,-0.3494
1.5,-0.3446
1.5,-0.3398
1.5,-0.335
1.5,-0.3286
1.5,-0.3238
1.5,-0.319
1.5,-0.3142
