Power,Untitled 1
1.288522923,-0.341
1.290457347,-0.3394
1.294326197,-0.3378
1.30399832,-0.3346
1.311736019,-0.333
1.321408142,-0.3314
1.332047478,-0.3266
1.343654026,-0.3218
1.375572033,-0.317
1.36589991,-0.3122
1.379440883,-0.3058
1.380408095,-0.301
1.372670396,-0.2975
1.369768759,-0.29
1.366867122,-0.2879
1.368801547,-0.2868
1.346555663,-0.2836
1.342686814,-0.2804
1.308834382,-0.2772
1.303031108,-0.274
1.285621286,-0.2708
1.301096683,-0.2676
1.301096683,-0.2644
1.299162258,-0.2612
1.292391772,-0.258
1.307867169,-0.2548
1.315604868,-0.2516
1.330113053,-0.2473
1.33688354,-0.2441
1.367834335,-0.2409
1.346555663,-0.2377
1.369768759,-0.2345
1.339785177,-0.2313
1.347522875,-0.2281
1.346555663,-0.2249
1.33688354,-0.2207
1.338817964,-0.2175
1.306899957,-0.2143
1.32044093,-0.2111
1.300129471,-0.2079
1.324309779,-0.2047
1.316572081,-0.2015
1.325276992,-0.1983
1.328178629,-0.1964
1.337850752,-0.1945
1.33688354,-0.1926
1.344621238,-0.1906
1.359129424,-0.1887
1.371703184,-0.1868
1.374604821,-0.1849
1.368801547,-0.183
1.370735972,-0.1804
1.368801547,-0.1785
1.3494573,-0.1766
1.362998273,-0.1746
1.356227787,-0.1727
1.356227787,-0.1708
1.35332615,-0.1689
1.347522875,-0.1663
1.335916327,-0.1644
1.331080266,-0.1625
1.311736019,-0.1606
1.310768807,-0.1586
1.310768807,-0.1567
1.307867169,-0.1548
1.330113053,-0.1529
1.32044093,-0.1503
1.335916327,-0.1484
1.354293362,-0.1465
1.366867122,-0.1446
1.369768759,-0.1426
1.371703184,-0.1407
1.372670396,-0.1388
1.381375307,-0.1369
1.38234252,-0.1343
1.367834335,-0.1324
1.373637609,-0.1305
1.385244157,-0.1286
1.343654026,-0.1266
1.371703184,-0.1247
1.339785177,-0.1228
1.340752389,-0.1209
1.362031061,-0.119
1.351391725,-0.1164
1.370735972,-0.1145
1.361063848,-0.1126
1.388145794,-0.1106
1.374604821,-0.1087
1.391047431,-0.1068
1.397817917,-0.1049
1.397817917,-0.1023
1.37847367,-0.1004
1.372670396,-0.099
1.393949068,-0.0977
1.417162164,-0.0964
1.421998226,-0.0951
1.500342425,-0.0917
1.567080077,-0.0905
1.644457064,-0.0879
1.724735689,-0.0866
1.823391348,-0.0828
1.912374883,-0.0819
2.01876824,-0.0781
2.099046865,-0.0772
2.17545664,-0.0742
2.24993199,-0.0734
2.319571279,-0.0734
2.405653177,-0.0721
2.458849856,-0.0695
2.529456357,-0.0683
2.587489097,-0.0657
2.637784139,-0.0644
2.673570996,-0.0606
2.734505373,-0.0593
2.777062716,-0.0593
2.840898731,-0.0555
2.900865896,-0.0529
2.956964212,-0.0521
3.03047235,-0.0495
3.085603453,-0.0491
3.122357522,-0.0476
3.188127961,-0.0472
3.222947606,-0.0459
3.27420986,-0.0455
3.289685257,-0.044
3.318701627,-0.0436
3.357390121,-0.0433
3.404783526,-0.0429
3.441537595,-0.0414
3.452176931,-0.041
3.480226088,-0.0395
3.509242459,-0.0391
3.529553918,-0.0389
3.568242412,-0.0384
3.602094844,-0.0369
3.631111214,-0.0365
3.658193159,-0.0352
3.681406256,-0.0346
3.709455413,-0.0344
3.733635722,-0.034
3.776193065,-0.0325
3.79070125,-0.032
3.828422531,-0.0318
3.832291381,-0.0312
3.849701203,-0.0299
3.844865141,-0.0295
3.844865141,-0.0291
3.829389744,-0.0286
3.812947134,-0.0284
3.854537265,-0.028
3.857438902,-0.0276
3.863242176,-0.0271
3.879684786,-0.0269
3.883553635,-0.0265
3.902897882,-0.0261
3.929979827,-0.0256
3.956094561,-0.0244
3.983176506,-0.0237
3.963832259,-0.0235
3.985110931,-0.0231
3.990914205,-0.0227
4.00542239,-0.0222
4.025733849,-0.022
4.045078096,-0.0216
4.047979733,-0.0201
4.047012521,-0.0199
4.032504335,-0.0199
4.041209247,-0.0198
4.040242034,-0.0197
4.058619069,-0.0195
4.066356767,-0.0195
4.075061679,-0.0194
4.049914158,-0.0193
4.093438713,-0.0192
4.110848535,-0.0191
4.123422296,-0.019
4.149537029,-0.019
4.142766542,-0.0189
4.17468455,-0.0187
4.154373091,-0.0186
4.165979639,-0.0186
4.127291145,-0.0185
4.128258357,-0.0184
4.103110836,-0.0183
4.080864953,-0.0182
4.074094466,-0.0181
4.035405973,-0.0179
4.031537123,-0.0178
4.032504335,-0.0176
3.993815842,-0.0175
3.991881417,-0.0173
3.979307657,-0.0171
3.960930622,-0.017
3.953192923,-0.0168
3.929012615,-0.0166
3.919340492,-0.0165
3.913537217,-0.0163
3.899029032,-0.0161
3.863242176,-0.016
3.855504477,-0.0158
3.825520894,-0.0157
3.800373374,-0.0155
3.795537312,-0.0153
3.770389791,-0.0151
3.737504571,-0.015
3.744275058,-0.0148
3.733635722,-0.0146
3.750078332,-0.0145
3.747176695,-0.0143
3.771357003,-0.0142
3.777160277,-0.0139
3.777160277,-0.0138
3.758783243,-0.0136
3.755881606,-0.0135
3.73266851,-0.0133
3.730734085,-0.0131
3.708488201,-0.013
3.680439043,-0.0128
3.655291522,-0.0126
3.6378817,-0.0125
3.607898118,-0.0123
3.572111261,-0.0121
3.556635863,-0.012
3.516012945,-0.0118
3.513111308,-0.0116
3.48506215,-0.0114
3.476357239,-0.0113
3.461849054,-0.0111
3.482160513,-0.011
3.478291664,-0.0108
3.498603123,-0.0106
3.481193301,-0.0105
3.506340822,-0.0103
3.476357239,-0.0101
3.479258876,-0.0099
3.460881842,-0.0098
3.457012992,-0.0096
3.440570382,-0.0095
3.414455649,-0.0093
3.371898306,-0.0091
3.366095032,-0.009
3.343849148,-0.0088
3.313865566,-0.0086
3.308062292,-0.0085
3.287750833,-0.0083
3.280013134,-0.0081
3.281947558,-0.008
3.283881983,-0.0078
3.295488531,-0.0077
3.312898353,-0.0075
3.29065247,-0.0073
3.312898353,-0.0071
3.299357381,-0.007
3.293554107,-0.0068
3.276144284,-0.0066
3.267439373,-0.0065
3.269373798,-0.0063
3.269373798,-0.0061
3.263570524,-0.0059
3.235521366,-0.0058
3.238423003,-0.0056
3.204570571,-0.0055
3.177488626,-0.0053
3.194898448,-0.0051
3.160078803,-0.005
3.169750927,-0.0048
3.171685352,-0.0046
3.147505043,-0.0045
3.139767344,-0.0043
3.134931283,-0.0041
3.161046016,-0.004
3.153308317,-0.0038
3.171685352,-0.0037
3.153308317,-0.0035
3.158144379,-0.0033
3.126226372,-0.0031
3.122357522,-0.003
3.109783762,-0.0028
3.074964117,-0.0026
3.095275577,-0.0025
3.071095268,-0.0023
3.050783809,-0.0022
3.044013322,-0.0019
3.000488767,-0.0018
3.002423192,-0.0016
2.985980582,-0.0015
3.001455979,-0.0013
3.008226466,-0.0011
3.014996952,-0.001
3.004357616,-0.0008
3.009193678,-0.0006
2.990816644,-0.0005
2.966636335,-0.0002
2.983078945,-0.0001
2.955996999,0
2.944390451,0
2.931816691,0
2.925046204,0
2.895062622,0
2.896997047,0
2.876685587,0
2.869915101,0
2.843800368,0
2.840898731,0
2.848636429,0
2.851538067,0
2.835095457,0
2.822521696,0
2.798341388,0
2.78286599,0
2.754816832,0
2.743210284,0
2.714193914,0
2.683243119,0
2.665833297,0
2.638751351,0
2.616505468,0
2.587489097,0
2.58845631,0
2.561374364,0
2.559439939,0
2.53912848,0
2.550735028,0
2.52655472,0
2.516882596,0
2.499472774,0
2.4936695,0
2.474325253,0
2.446276095,0
2.427899061,0
2.422095787,0
2.413390876,0
2.401784328,0
2.376636807,0
2.342784375,-0.0754
2.343751587,-8.4
2.314735217,-8.4
2.170620578,-8.4
2.032309213,-331.4778
1.88626015,-331.4778
1.77889958,-331.4778
1.687014407,-331.4778
1.614473482,-331.4778
1.592227598,-346.1445
1.520653885,-362.1445
1.514850611,-372.8111
1.478096542,-394.1445
1.44037526,-410.1445
1.392981856,-426.1445
1.322375355,-447.4778
1.257572128,-458.1445
1.203408237,-474.1445
1.156982044,-495.4778
